"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.001737,0.00032,5.432574,0
"previous_GROWTHRATE",0.461579,0.048302,9.55613,0
"lagl1",-0.001023,0.00013,-7.880028,0
"lagl2",-0.000149,0.000064,-2.326183,0.020857
