"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",31540.3617,14808.7693,2.1298,0.0342
"previous_OSA",-0.0696,0.0331,-2.1057,0.0363
"lag1_OSAdiff",-0.5112,0.0675,-7.5701,0
"lag2_OSAdiff",-0.3614,0.0703,-5.1387,0
"lag3_OSAdiff",-0.103,0.0645,-1.5961,0.1118
