"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",32506.3542,15240.8757,2.1328,0.034
"time(`YYYY-MM`)",7.5434,27.1691,0.2776,0.7815
"previous_OSA",-0.0738,0.0364,-2.0279,0.0437
"lag1_OSAdiff",-0.5074,0.069,-7.3521,0
"lag2_OSAdiff",-0.3584,0.0713,-5.029,0
"lag3_OSAdiff",-0.1012,0.0649,-1.5591,0.1204
