"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",21743.4572,8908.5711,2.4407,0.0154
"time(`YYYY-MM`)",14.5161,16.8972,0.8591,0.3912
"previous_TSA",-0.1016,0.0426,-2.3865,0.0178
"lag1_TSAdiff",-0.5483,0.072,-7.6179,0
"lag2_TSAdiff",-0.3139,0.0755,-4.1591,0
"lag3_TSAdiff",-0.0584,0.0653,-0.8932,0.3727
