"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",561.613,919.511,0.611,0.542
"lag1_TSAdiff",-0.598,0.062,-9.7,0
"lag2_TSAdiff",-0.263,0.076,-3.468,0.001
"lag3_TSAdiff",-0.227,0.075,-3.035,0.003
"lag4_TSAdiff",-0.23,0.072,-3.194,0.002
"lag5_TSAdiff",-0.152,0.061,-2.494,0.013
"lag10_TSAdiff",-0.268,0.052,-5.124,0
"lag12_TSAdiff",0.246,0.055,4.512,0
